campaignID,term,termWildcard
27,compact handheld vacuum,%compact%handheld%vacuum%
27,eco rice cooker,%eco%rice%cooker%
27,energy_saving espresso machine,%energy_saving%espresso%machine%
27,USB_C smart earbuds,%USB_C%smart%earbuds%
27,bluetooth power bank,%bluetooth%power%bank%
27,touch_screen rice cooker,%touch_screen%rice%cooker%
27,eco desktop PC,%eco%desktop%PC%
27,touch_screen blender,%touch_screen%blender%
27,4K juicer,%4K%juicer%
27,high_speed smartwatch,%high_speed%smartwatch%
27,all_in_one electric skillet,%all_in_one%electric%skillet%
28,eco camera bag,%eco%camera%bag%
28,ceiling lamp,%ceiling%lamp%
28,sound system,%sound%system%
28,smart_home digital camera,%smart_home%digital%camera%
28,gaming SSD,%gaming%SSD%
28,pro robot vacuum,%pro%robot%vacuum%
29,noise_cancelling tripod,%noise_cancelling%tripod%
29,touch_screen printer,%touch_screen%printer%
29,all_in_one toaster,%all_in_one%toaster%
29,high_speed mechanical keyboard,%high_speed%mechanical%keyboard%
29,USB_C studio headphones,%USB_C%studio%headphones%
29,advanced smartwatch,%advanced%smartwatch%
29,bluetooth induction cooktop,%bluetooth%induction%cooktop%
29,eco ceiling fan,%eco%ceiling%fan%
29,compact fan,%compact%fan%
29,noise_cancelling microwave oven,%noise_cancelling%microwave%oven%
29,all_in_one camera lens,%all_in_one%camera%lens%
29,bluetooth webcam,%bluetooth%webcam%
30,smart_home espresso machine,%smart_home%espresso%machine%
30,energy_saving QLED TV,%energy_saving%QLED%TV%
30,gaming smoke detector,%gaming%smoke%detector%
30,bluetooth desktop PC,%bluetooth%desktop%PC%
30,noise_cancelling dryer,%noise_cancelling%dryer%
30,USB_C rice cooker,%USB_C%rice%cooker%
30,advanced SSD,%advanced%SSD%
30,bluetooth webcam,%bluetooth%webcam%
30,all_in_one fan,%all_in_one%fan%
30,pro scanner,%pro%scanner%
30,all_in_one game controller,%all_in_one%game%controller%
30,professional bluetooth speaker,%professional%bluetooth%speaker%
30,smart_home fitness tracker,%smart_home%fitness%tracker%
31,high_speed LED lamp,%high_speed%LED%lamp%
31,energy_saving smartwatch,%energy_saving%smartwatch%
31,touch_screen thermostat,%touch_screen%thermostat%
31,sound system,%sound%system%
31,LED electric skillet,%LED%electric%skillet%
31,gaming video doorbell,%gaming%video%doorbell%
31,high_speed desktop PC,%high_speed%desktop%PC%
31,smart_home toaster,%smart_home%toaster%
31,compact SSD,%compact%SSD%
31,water purifier,%water%purifier%
31,noise_cancelling microwave oven,%noise_cancelling%microwave%oven%
31,professional portable charger,%professional%portable%charger%
31,ultra air fryer,%ultra%air%fryer%
31,high_speed electric skillet,%high_speed%electric%skillet%
32,all_in_one convection oven,%all_in_one%convection%oven%
32,LED smart light bulb,%LED%smart%light%bulb%
32,bluetooth convection oven,%bluetooth%convection%oven%
32,pro electric grill,%pro%electric%grill%
32,touch_screen flash drive,%touch_screen%flash%drive%
32,compact SSD,%compact%SSD%
32,black air fryer,%black%air%fryer%
32,eco OLED TV,%eco%OLED%TV%
32,pro tripod,%pro%tripod%
33,noise_cancelling air fryer,%noise_cancelling%air%fryer%
33,eco camera lens,%eco%camera%lens%
33,ultra tripod,%ultra%tripod%
33,smart_home mirrorless camera,%smart_home%mirrorless%camera%
33,smart_home subwoofer,%smart_home%subwoofer%
33,eco laptop,%eco%laptop%
33,eco digital camera,%eco%digital%camera%
33,all_in_one electric skillet,%all_in_one%electric%skillet%
33,black mini fridge,%black%mini%fridge%
33,LED game controller,%LED%game%controller%
33,compact juicer,%compact%juicer%
33,LED ceiling lamp,%LED%ceiling%lamp%
33,LED electric grill,%LED%electric%grill%
34,USB_C camera filter,%USB_C%camera%filter%
34,bluetooth portable heater,%bluetooth%portable%heater%
34,compact 4K TV,%compact%4K%TV%
34,black camera bag,%black%camera%bag%
34,gaming smartwatch,%gaming%smartwatch%
34,4K studio headphones,%4K%studio%headphones%
34,ultra humidifier,%ultra%humidifier%
34,advanced ceiling lamp,%advanced%ceiling%lamp%
34,touch_screen convection oven,%touch_screen%convection%oven%
34,gaming smart light bulb,%gaming%smart%light%bulb%
34,4K camera lens,%4K%camera%lens%
35,energy_saving electric kettle,%energy_saving%electric%kettle%
35,gaming smoke detector,%gaming%smoke%detector%
35,all_in_one mirrorless camera,%all_in_one%mirrorless%camera%
35,noise_cancelling mechanical keyboard,%noise_cancelling%mechanical%keyboard%
35,gaming power bank,%gaming%power%bank%
35,compact SSD,%compact%SSD%
35,black camera filter,%black%camera%filter%
35,pro home theater,%pro%home%theater%
36,energy_saving external hard drive,%energy_saving%external%hard%drive%
36,all_in_one coffee maker,%all_in_one%coffee%maker%
36,smart_home washing machine,%smart_home%washing%machine%
36,LED printer,%LED%printer%
36,bluetooth power bank,%bluetooth%power%bank%
36,energy_saving scanner,%energy_saving%scanner%
36,pro tripod,%pro%tripod%
36,USB_C water purifier,%USB_C%water%purifier%
37,pro convection oven,%pro%convection%oven%
37,LED toaster oven,%LED%toaster%oven%
37,bluetooth blender,%bluetooth%blender%
37,smart_home 4K TV,%smart_home%4K%TV%
37,all_in_one game controller,%all_in_one%game%controller%
37,LED ceiling lamp,%LED%ceiling%lamp%
38,energy_saving ceiling lamp,%energy_saving%ceiling%lamp%
38,smart_home game controller,%smart_home%game%controller%
38,USB_C desk lamp,%USB_C%desk%lamp%
38,gaming refrigerator,%gaming%refrigerator%
38,advanced smartwatch,%advanced%smartwatch%
38,touch_screen smart lock,%touch_screen%smart%lock%
38,all_in_one power bank,%all_in_one%power%bank%
38,pro slow cooker,%pro%slow%cooker%
39,professional desk lamp,%professional%desk%lamp%
39,4K floor lamp,%4K%floor%lamp%
39,bluetooth convection oven,%bluetooth%convection%oven%
39,energy_saving mini fridge,%energy_saving%mini%fridge%
39,energy_saving espresso machine,%energy_saving%espresso%machine%
39,touch_screen smart lock,%touch_screen%smart%lock%
39,black ice maker,%black%ice%maker%
39,4K toaster,%4K%toaster%
40,LED smart light bulb,%LED%smart%light%bulb%
40,professional memory card,%professional%memory%card%
40,compact handheld vacuum,%compact%handheld%vacuum%
40,high_speed desktop PC,%high_speed%desktop%PC%
40,USB_C wireless headphones,%USB_C%wireless%headphones%
40,LED toaster oven,%LED%toaster%oven%
40,4K memory card,%4K%memory%card%
41,4K laptop,%4K%laptop%
41,compact slow cooker,%compact%slow%cooker%
41,ultra power bank,%ultra%power%bank%
41,4K webcam,%4K%webcam%
41,advanced 4K TV,%advanced%4K%TV%
41,gaming air fryer,%gaming%air%fryer%
41,smart_home laptop,%smart_home%laptop%
41,advanced electric grill,%advanced%electric%grill%
41,compact laptop,%compact%laptop%
41,LED toaster oven,%LED%toaster%oven%
41,high_speed soundbar,%high_speed%soundbar%
41,noise_cancelling water purifier,%noise_cancelling%water%purifier%
41,pro home theater,%pro%home%theater%
42,ultra smart light bulb,%ultra%smart%light%bulb%
42,compact ceiling lamp,%compact%ceiling%lamp%
42,high_speed robot vacuum,%high_speed%robot%vacuum%
42,eco electric kettle,%eco%electric%kettle%
42,humidifier,%humidifier%
42,eco gaming headset,%eco%gaming%headset%
42,high_speed electric kettle,%high_speed%electric%kettle%
43,compact security camera,%compact%security%camera%
43,noise_cancelling gaming console,%noise_cancelling%gaming%console%
43,professional wireless headphones,%professional%wireless%headphones%
43,ultra fitness tracker,%ultra%fitness%tracker%
43,professional washing machine,%professional%washing%machine%
43,bluetooth power bank,%bluetooth%power%bank%
43,pro home theater,%pro%home%theater%
43,pro wireless router,%pro%wireless%router%
43,4K juicer,%4K%juicer%
43,noise_cancelling dryer,%noise_cancelling%dryer%
44,4K laptop,%4K%laptop%
44,ultra fitness tracker,%ultra%fitness%tracker%
44,smart_home washing machine,%smart_home%washing%machine%
44,4K smart TV,%4K%smart%TV%
44,pro scanner,%pro%scanner%
45,professional camera bag,%professional%camera%bag%
45,high_speed desk lamp,%high_speed%desk%lamp%
45,bluetooth smart lock,%bluetooth%smart%lock%
45,professional sound system,%professional%sound%system%
45,USB_C flash drive,%USB_C%flash%drive%
45,eco camera bag,%eco%camera%bag%
45,USB_C electric grill,%USB_C%electric%grill%
45,gaming air fryer,%gaming%air%fryer%
45,all_in_one camera lens,%all_in_one%camera%lens%
45,USB_C food processor,%USB_C%food%processor%
45,advanced OLED TV,%advanced%OLED%TV%
45,all_in_one gaming headset,%all_in_one%gaming%headset%
45,energy_saving action camera,%energy_saving%action%camera%
45,professional bluetooth speaker,%professional%bluetooth%speaker%
46,touch_screen mini fridge,%touch_screen%mini%fridge%
46,ultra microwave oven,%ultra%microwave%oven%
46,touch_screen external hard drive,%touch_screen%external%hard%drive%
46,smart_home mirrorless camera,%smart_home%mirrorless%camera%
46,advanced microwave oven,%advanced%microwave%oven%
46,USB_C desk lamp,%USB_C%desk%lamp%
46,energy_saving espresso machine,%energy_saving%espresso%machine%
46,bluetooth food processor,%bluetooth%food%processor%
46,ultra dehumidifier,%ultra%dehumidifier%
47,energy_saving LED TV,%energy_saving%LED%TV%
47,touch_screen OLED TV,%touch_screen%OLED%TV%
47,compact smart lock,%compact%smart%lock%
47,LED mini fridge,%LED%mini%fridge%
47,advanced video doorbell,%advanced%video%doorbell%
47,touch_screen subwoofer,%touch_screen%subwoofer%
47,advanced smartwatch,%advanced%smartwatch%
47,4K smart TV,%4K%smart%TV%
47,gaming air purifier,%gaming%air%purifier%
47,smart_home portable heater,%smart_home%portable%heater%
47,smart_home camera lens,%smart_home%camera%lens%
47,bluetooth speaker,%bluetooth%speaker%
47,touch_screen camcorder,%touch_screen%camcorder%
47,bluetooth wireless router,%bluetooth%wireless%router%
48,all_in_one smartwatch,%all_in_one%smartwatch%
48,high_speed ice maker,%high_speed%ice%maker%
48,all_in_one convection oven,%all_in_one%convection%oven%
48,touch_screen QLED TV,%touch_screen%QLED%TV%
48,4K ceiling lamp,%4K%ceiling%lamp%
48,smart_home washing machine,%smart_home%washing%machine%
48,ultra coffee maker,%ultra%coffee%maker%
48,eco blender,%eco%blender%
48,bluetooth desk lamp,%bluetooth%desk%lamp%
48,advanced vacuum cleaner,%advanced%vacuum%cleaner%
48,noise_cancelling OLED TV,%noise_cancelling%OLED%TV%
48,professional webcam,%professional%webcam%
48,professional smart TV,%professional%smart%TV%
49,bluetooth mechanical keyboard,%bluetooth%mechanical%keyboard%
49,compact security camera,%compact%security%camera%
49,all_in_one home theater,%all_in_one%home%theater%
49,all_in_one coffee maker,%all_in_one%coffee%maker%
49,professional camera lens,%professional%camera%lens%
49,thermostat,%thermostat%
49,compact SSD,%compact%SSD%
49,pro camcorder,%pro%camcorder%
49,compact fan,%compact%fan%
49,touch_screen smoke detector,%touch_screen%smoke%detector%
49,bluetooth LED lamp,%bluetooth%LED%lamp%
49,high_speed electric kettle,%high_speed%electric%kettle%
50,USB_C humidifier,%USB_C%humidifier%
50,bluetooth portable heater,%bluetooth%portable%heater%
50,eco smart home hub,%eco%smart%home%hub%
50,portable charger,%portable%charger%
50,pro camera lens,%pro%camera%lens%
50,eco LED TV,%eco%LED%TV%
50,advanced wireless headphones,%advanced%wireless%headphones%
50,4K digital camera,%4K%digital%camera%
50,high_speed sound system,%high_speed%sound%system%
50,compact fan,%compact%fan%
50,bluetooth smart light bulb,%bluetooth%smart%light%bulb%
50,energy_saving food processor,%energy_saving%food%processor%
50,bluetooth webcam,%bluetooth%webcam%
50,USB_C smart earbuds,%USB_C%smart%earbuds%
50,high_speed electric skillet,%high_speed%electric%skillet%
51,noise_cancelling food processor,%noise_cancelling%food%processor%
51,touch_screen external hard drive,%touch_screen%external%hard%drive%
51,bluetooth humidifier,%bluetooth%humidifier%
51,energy_saving mini fridge,%energy_saving%mini%fridge%
51,noise_cancelling smart home hub,%noise_cancelling%smart%home%hub%
51,black coffee maker,%black%coffee%maker%
52,gaming digital camera,%gaming%digital%camera%
52,LED electric skillet,%LED%electric%skillet%
52,touch_screen sound system,%touch_screen%sound%system%
52,advanced smartwatch,%advanced%smartwatch%
52,black gaming headset,%black%gaming%headset%
52,black dehumidifier,%black%dehumidifier%
53,ultra laptop,%ultra%laptop%
53,QLED TV,%QLED%TV%
53,eco camera bag,%eco%camera%bag%
53,advanced microwave oven,%advanced%microwave%oven%
53,LED electric skillet,%LED%electric%skillet%
53,professional camera lens,%professional%camera%lens%
53,compact tripod,%compact%tripod%
53,black tablet,%black%tablet%
53,bluetooth LED lamp,%bluetooth%LED%lamp%
54,4K tripod,%4K%tripod%
54,bluetooth smart lock,%bluetooth%smart%lock%
54,LED dryer,%LED%dryer%
54,ultra smartwatch,%ultra%smartwatch%
54,4K thermostat,%4K%thermostat%
54,eco electric kettle,%eco%electric%kettle%
54,smart_home toaster oven,%smart_home%toaster%oven%
54,high_speed gaming headset,%high_speed%gaming%headset%
54,water purifier,%water%purifier%
55,energy_saving external hard drive,%energy_saving%external%hard%drive%
55,advanced video doorbell,%advanced%video%doorbell%
55,advanced microwave oven,%advanced%microwave%oven%
55,energy_saving espresso machine,%energy_saving%espresso%machine%
55,eco espresso machine,%eco%espresso%machine%
55,bluetooth power bank,%bluetooth%power%bank%
55,noise_cancelling handheld vacuum,%noise_cancelling%handheld%vacuum%
55,electric grill,%electric%grill%
56,USB_C gaming console,%USB_C%gaming%console%
56,touch_screen external hard drive,%touch_screen%external%hard%drive%
56,noise_cancelling studio headphones,%noise_cancelling%studio%headphones%
56,professional vacuum cleaner,%professional%vacuum%cleaner%
56,USB_C desk lamp,%USB_C%desk%lamp%
56,high_speed scanner,%high_speed%scanner%
56,professional camera lens,%professional%camera%lens%
56,USB_C food processor,%USB_C%food%processor%
56,eco induction cooktop,%eco%induction%cooktop%
56,all_in_one electric grill,%all_in_one%electric%grill%
56,professional smart TV,%professional%smart%TV%
56,compact refrigerator,%compact%refrigerator%
56,touch_screen OLED TV,%touch_screen%OLED%TV%
57,touch_screen OLED TV,%touch_screen%OLED%TV%
57,all_in_one convection oven,%all_in_one%convection%oven%
57,LED TV,%LED%TV%
57,eco studio headphones,%eco%studio%headphones%
57,all_in_one camera bag,%all_in_one%camera%bag%
57,black mini fridge,%black%mini%fridge%
57,USB_C juicer,%USB_C%juicer%
57,4K digital camera,%4K%digital%camera%
57,air fryer,%air%fryer%
57,gaming air purifier,%gaming%air%purifier%
57,noise_cancelling SSD,%noise_cancelling%SSD%
57,gaming smoke detector,%gaming%smoke%detector%
57,4K smart home hub,%4K%smart%home%hub%
58,LED mini fridge,%LED%mini%fridge%
58,professional wireless headphones,%professional%wireless%headphones%
58,noise_cancelling LED lamp,%noise_cancelling%LED%lamp%
58,professional thermostat,%professional%thermostat%
58,pro tripod,%pro%tripod%
58,energy_saving scanner,%energy_saving%scanner%
58,USB_C espresso machine,%USB_C%espresso%machine%
58,touch_screen OLED TV,%touch_screen%OLED%TV%
59,noise_cancelling air fryer,%noise_cancelling%air%fryer%
59,LED tripod,%LED%tripod%
59,USB_C subwoofer,%USB_C%subwoofer%
59,high_speed camera lens,%high_speed%camera%lens%
59,compact handheld vacuum,%compact%handheld%vacuum%
59,LED printer,%LED%printer%
59,ultra humidifier,%ultra%humidifier%
59,energy_saving smartwatch,%energy_saving%smartwatch%
59,noise_cancelling wireless headphones,%noise_cancelling%wireless%headphones%
60,black QLED TV,%black%QLED%TV%
